,u,v,length,highway,name,maxspeed
4195,639991862,1845703319,78.78385470683457,residential,华盛路,
4196,639991875,1845703215,12.230901068459675,residential,长安路,
4197,639991875,7617590706,141.0900213416374,secondary,恒通路,
4198,639991875,338642241,70.12722732078277,residential,长安路,
4199,639992003,9779034052,80.02735528130499,primary,长寿路,
4200,639992006,7180845364,186.27475547477684,primary,长寿路,
4201,639992006,9148433618,162.949671965209,residential,长安路,
4202,639992064,1845703215,145.74093663795935,residential,长安路,
4203,639992064,640008163,183.73865734030747,residential,恒丰路,
4204,639992112,639992118,176.72400705392567,residential,华康路,
4205,639992112,1723083538,86.6142615471741,primary,天目西路,
4206,639992118,639992131,110.15602969897358,residential,华康路,
4207,639992118,639992112,176.72400705392567,residential,华康路,
4208,639992118,639992413,167.69085878025544,residential,"['华盛路', '共和路']",
4209,639992118,639992236,161.49648970747137,residential,共和路,
4210,639992131,639992118,110.1560296989736,residential,华康路,
4211,639992131,639992413,131.6114359071001,residential,汉中路,
4212,639992131,1850260467,80.4108725340887,residential,汉中路,
4213,639992188,639992190,26.524221145053243,tertiary,民立路,
4214,639992188,486620806,99.12785407751417,tertiary,民立路,
4215,639992188,109682169,213.95106781049643,primary,天目西路,
4216,639992190,111138587,120.55562273093481,primary,天目西路,
4217,639992190,639992188,26.524221145053243,tertiary,民立路,
4218,639992190,517783993,190.44054792613133,tertiary,民立路,
4219,639992236,639992118,161.49648970747134,residential,共和路,
4220,639992236,111138587,176.69136890207358,tertiary,梅园路,
4221,639992236,517783993,117.63904821004263,tertiary,共和路,
4222,639992236,1850260466,198.06473625724982,tertiary,梅园路,
4223,639992299,2181350376,10.615969241072872,residential,光复路,
4224,639992299,9148426414,323.591388503581,residential,光复路,
4225,639992413,9268761642,132.77878841939943,residential,华盛路,
4226,639992413,639992118,167.6908587802554,residential,"['华盛路', '共和路']",
4227,639992413,639992131,131.61143590710006,residential,汉中路,
4228,640007838,2181350359,18.88712204475465,unclassified,海防路,
4229,640007838,640007869,4.814628931234105,unclassified,,
4230,640007850,640007866,9.76614287818593,unclassified,西苏州路,
4231,640007850,469878022,272.3755300229083,unclassified,西苏州路,
4232,640007866,640007850,9.76614287818593,unclassified,西苏州路,
4233,640007866,640007869,91.18001708685104,unclassified,海防路,
4234,640007866,600493482,331.89284963016735,unclassified,西苏州路,
4235,640007869,640007838,4.814628931234105,unclassified,,
4236,640007869,2355898100,96.30563163535493,unclassified,海防路,
4237,640007875,640008222,42.35819255337333,residential,海防路,
4238,640007875,640007838,214.9740457746356,unclassified,海防路,
4239,640007899,640007901,13.496206084860328,residential,裕通路,
4240,640007899,109651881,151.44134126218373,secondary,恒丰路,
4241,640007901,109651383,126.93634001106139,secondary,恒丰路,
4242,640008009,338640325,300.3190627257036,residential,光复路,
4243,640008009,639991852,165.78161512777106,residential,恒丰路,
4244,640008009,640008163,54.72348239700388,residential,光复路,
4245,640008035,640008094,41.48565469166502,residential,康定东路,
4246,640008035,602243262,43.115671929284744,residential,康定东路,
4247,640008035,640008050,47.80703155386427,residential,石门二路,
4248,640008050,640008053,16.339523770067164,residential,石门二路,
4249,640008053,640008056,85.34260393650797,residential,石门二路,
4250,640008053,640008091,33.65017368233173,residential,,
4251,640008056,640008063,124.50456974536772,residential,石门二路,
4252,640008056,9339213759,194.45371705987804,residential,武定路,
4253,640008063,109652252,18.851798799365774,secondary,石门二路,
4254,640008088,640008091,200.3124471919158,residential,石门二路,
4255,640008088,1850260376,627.7533609302534,secondary,"['恒丰路', '石门二路']",
4256,640008091,640008094,76.29567801113875,residential,石门二路,
4257,640008091,640008053,33.65017368233173,residential,,
4258,640008091,640008107,229.21491733344334,residential,顺德路,
4259,640008094,555615155,229.00794912141828,residential,南苏州路,
4260,640008094,640008035,41.48565469166501,residential,康定东路,
4261,640008107,469878452,137.87555777375007,residential,大田路,
4262,640008107,640008091,229.21491733344337,residential,顺德路,
4263,640008163,640008009,54.72348239700388,residential,光复路,
4264,640008163,8364430733,339.51814001028777,residential,光复路,
4265,640008222,640007875,42.35819255337333,residential,海防路,
4266,640008222,4154357526,91.18432475566428,residential,昌化路,
4267,640008222,156261805,126.46654519722334,residential,海防路,
4268,640008222,469887039,149.34751525415246,residential,昌化路,
4269,640019024,485286385,803.8971942661861,tertiary,远景路,
4270,640019024,640199711,252.17521257635747,tertiary,远景路,
4271,640199267,640199270,297.9363827170222,residential,凯旋北路,
4272,640199267,2542671641,14.109512699401755,residential,远景路,
4273,640199267,1545411616,41.60051599198937,secondary,光新路,
4274,640199270,640199267,297.9363827170222,residential,凯旋北路,
4275,640199270,565234712,57.57252117468658,secondary,镇坪路,
4276,640199270,2356275991,219.94786171095672,residential,凯旋北路,
4277,640199270,1798209897,154.1292032390032,secondary,镇坪路,
4278,640199270,1798209871,276.4705748528864,unclassified,,
4279,640199558,485286402,120.19892866065592,residential,远景路,
4280,640199558,2356275318,292.77557986841873,residential,远景路,
4281,640199587,2542671641,278.36551815673954,residential,远景路,
4282,640199587,9509790227,115.50437682374063,residential,远景路,
4283,640199587,2542660874,43.65226212201732,residential,,30
4284,640199587,2542657857,75.99532461049789,residential,,20
4285,640199610,648296972,480.0051370155057,residential,宜昌路,
4286,640199610,2356275301,195.87845331179253,tertiary,中潭路,
4287,640199610,156255147,101.40728731635423,residential,昌化路,
4288,640199622,640199628,206.44890825653474,residential,清水湾路,
4289,640199622,2356275301,345.0779155759429,tertiary,中潭路,
4290,640199622,485286402,105.83250156139263,tertiary,中潭路,
4291,640199628,2544357236,191.29923804748393,residential,清水湾路,20
4292,640199628,2544382429,309.02925359897324,residential,,
4293,640199711,485286402,29.58300893095757,tertiary,中潭路,
4294,640199711,600571600,83.953121627139,tertiary,中潭路,
4295,640199711,640199558,121.77807644532895,residential,远景路,
4296,640200256,1841876349,379.0548955196296,residential,澳门路,
4297,640200256,648297130,314.72689771209417,residential,澳门路,
4298,640200256,648296821,108.86413415173519,residential,昌化路,
4299,640200256,156255147,163.72063152371524,residential,昌化路,
4300,640448605,601712422,261.9971971642706,primary,肇嘉浜路,60
