osmid,y,x,highway
858404191,31.2196153,121.4511738,traffic_signals
858404199,31.2101432,121.4667776,
858404201,31.21024,121.4671734,
858404205,31.2099494,121.4672481,
858404226,31.2103531,121.4572091,traffic_signals
858404263,31.1966754,121.4652433,traffic_signals
858404347,31.2068264,121.4620758,traffic_signals
858404348,31.2063572,121.4621434,traffic_signals
858404364,31.2064242,121.4623717,traffic_signals
874282811,31.2440932,121.4742564,
874283609,31.2425666,121.4745954,
874287211,31.2419187,121.4742939,
874287498,31.2410634,121.4745167,
874287746,31.2418878,121.4745555,
874290340,31.2445159,121.4684528,
874290376,31.2455708,121.4681992,
874292866,31.2415634,121.4657723,
874295583,31.2408041,121.4685626,
874296162,31.2419534,121.4681904,
874296367,31.2405692,121.4685247,
874300005,31.2443511,121.4784313,
874300433,31.2441188,121.4781934,
874300749,31.2434955,121.4786435,
874300841,31.242459,121.4791836,
874300953,31.2424851,121.4792789,
874312328,31.2332241,121.4793617,
875815581,31.2390773,121.4277477,
875815594,31.2389835,121.4278848,
875815623,31.236859,121.428554,
875815649,31.2350491,121.4297557,
875815992,31.2422968,121.4263607,
882614371,31.2238673,121.4972607,traffic_signals
971168073,31.2143044,121.4771042,traffic_signals
971168076,31.2136747,121.4732864,traffic_signals
971168079,31.2141739,121.4749911,traffic_signals
973126787,31.2397417,121.4688898,traffic_signals
994212276,31.2102182,121.4248286,traffic_signals
994212278,31.210337,121.426658,
994212280,31.2104665,121.4283682,
994212281,31.2104733,121.428468,
994212286,31.2071205,121.4266718,
994212287,31.207238,121.4290318,
994212300,31.206763,121.4292295,
994212301,31.2067878,121.4293263,
994212305,31.2076219,121.4326365,
994212309,31.2080179,121.4346195,
994212329,31.2055564,121.4202709,
994212330,31.2066514,121.4207919,
994212333,31.2062591,121.4217066,
994212334,31.2087494,121.4220555,
994212336,31.2085966,121.4247409,
994212347,31.2029416,121.4276433,traffic_signals
994212357,31.2052015,121.425689,traffic_signals
994212415,31.203749,121.4254383,traffic_signals
994212529,31.2122203,121.4247635,traffic_signals
994217478,31.2146302,121.4259238,
994217502,31.2138244,121.42135,
994217569,31.2150849,121.426368,
994223753,31.2179352,121.4275602,
994223774,31.2170898,121.4234201,
994223785,31.2165865,121.4205899,
994909970,31.2129714,121.4305737,
994910026,31.2151992,121.4346081,
994910492,31.2005981,121.4217843,traffic_signals
994910493,31.2004547,121.4218755,traffic_signals
994910719,31.1979562,121.4237891,traffic_signals
994910722,31.197632,121.4248099,
994910744,31.1966644,121.4263207,
994910755,31.1978862,121.4268279,
994910767,31.1980962,121.4294616,
1093109024,31.2431239,121.4215619,
1093109094,31.2529359,121.42225,
1093109190,31.2554399,121.4266349,traffic_signals
1168461360,31.2140405,121.4392629,
1168463053,31.2100097,121.4380035,
1314685710,31.2389372,121.4778341,
1315785186,31.2289312,121.4817558,
1315785414,31.228591,121.4803786,
1315785483,31.2370036,121.4863079,
1315785579,31.2254384,121.4768206,
1316196952,31.2279348,121.4791593,
1316196960,31.2287109,121.4797409,
1316198769,31.2235848,121.4809898,
1316236342,31.221417,121.4866231,
1316236355,31.2187719,121.4868354,
1316236406,31.2189841,121.4855054,
1316236593,31.21951,121.4874215,
1316236660,31.2245339,121.4835606,
1316236759,31.2199327,121.487282,
1316236896,31.2193253,121.4858238,
1316471713,31.2192289,121.4884578,
1316471714,31.2216903,121.4885309,
1316471728,31.2238582,121.490837,
1316471735,31.2207015,121.4911615,
1316471745,31.2232704,121.4897973,
1316471746,31.2219166,121.4911097,
1316471756,31.2225258,121.4926571,
1316471757,31.2196807,121.4880588,
1316471775,31.22272,121.4908772,
1316471792,31.2201815,121.4873165,
1316471797,31.2184079,121.488785,
1316471802,31.2197473,121.488211,
1316471848,31.2207589,121.488926,
1316471879,31.2232903,121.4928112,
1316471895,31.2219476,121.4918534,
1316471896,31.2190072,121.4876811,
1316471899,31.2227155,121.4918913,
1316471913,31.2226833,121.4910649,
1316471992,31.22392,121.4903861,
1316472004,31.219526,121.4913887,
1316472028,31.2230184,121.4898571,
1316472061,31.2211328,121.4868752,
1316472082,31.2201734,121.4910314,
1316472107,31.2227054,121.488209,
1316472147,31.2197309,121.4910301,
1316472172,31.2203264,121.4877107,
1316694021,31.2251055,121.4859366,
1317175521,31.2102449,121.4314909,
1317670957,31.2260784,121.4928105,
1317671269,31.2264261,121.490867,
1319204488,31.22183,121.4954888,traffic_signals
1319204529,31.2229168,121.4953324,
1319204556,31.2210107,121.4929131,
1319204583,31.2213851,121.4959033,
1319641054,31.2196293,121.4990759,
1319641085,31.2166805,121.4980479,
1319641111,31.2155139,121.4963106,
1319641278,31.2183821,121.4985814,
1319641415,31.2164544,121.496466,
1320103751,31.2208479,121.4940831,traffic_signals
1320103867,31.2202285,121.4914994,
1324294269,31.2158017,121.4922224,
1324294330,31.2146647,121.4929821,
1324294520,31.2159873,121.4932736,
1324294654,31.2157506,121.4945573,
1324294804,31.2166203,121.4942055,
1324294807,31.2162385,121.4941554,
1324294864,31.2167471,121.4934681,
1324294871,31.2159615,121.4934135,
1324294917,31.2165819,121.494203,
1324294936,31.2136316,121.4941967,
1324295022,31.2171707,121.4942412,
1324295149,31.2157925,121.4912978,
1324295174,31.2163537,121.4933587,
1324295202,31.215835,121.4940995,
1328999596,31.2121138,121.4935927,
1404036952,31.2161466,121.4854929,
1404036994,31.2163788,121.4853291,
1404037043,31.2155969,121.4857754,
1404037067,31.2129649,121.4876397,
1404037126,31.2163845,121.4844681,
1414884244,31.2032383,121.4348651,traffic_signals
1414884245,31.20449,121.4370569,
1414884249,31.2071778,121.439941,traffic_signals
1427084335,31.2400398,121.4256318,
1441441256,31.198048,121.4311004,
1448225118,31.2501364,121.4204553,
1448225123,31.2501594,121.4205146,
1448905846,31.2414625,121.4299655,
1448905863,31.2431831,121.4311327,
1448905865,31.2432797,121.4311958,
1448909718,31.2456718,121.4319459,
1448940597,31.2557955,121.4533537,
1448940598,31.2557607,121.4536645,
1448940603,31.2555902,121.4505303,
1487384235,31.2097619,121.4285335,
1490096863,31.2300897,121.4473442,
1490098826,31.2331536,121.4453038,
1490098838,31.2373209,121.4672965,
1490101116,31.2412297,121.4624557,
1490932756,31.2097339,121.4284282,
1490932759,31.1985418,121.4330661,
1491042380,31.2426455,121.5074275,
1491042477,31.244098,121.5068715,traffic_signals
1491042503,31.2440493,121.5099147,traffic_signals
1505242498,31.2284563,121.4227344,
1505242507,31.2286942,121.4230766,
1505242513,31.2278584,121.4231917,
1505262782,31.2190342,121.4207913,
1505262794,31.216033,121.4205451,
1505262798,31.2151908,121.4206631,
1505266651,31.2152325,121.4210144,
1505266662,31.2121387,121.4217241,
1540771151,31.2242808,121.4959445,
1540904124,31.2259772,121.4948385,
1545411616,31.2511729,121.4288835,
1545411617,31.2513,121.4289511,
1545433431,31.2559097,121.4265991,
1545579218,31.2580855,121.4262066,
1545579219,31.2580928,121.4259828,
1545758094,31.2580561,121.4236756,
1545758116,31.2559328,121.4240959,
1545758122,31.254521,121.4250179,
1545758154,31.2543679,121.4210887,
1548530712,31.232456,121.4319083,
1548530715,31.2335371,121.4310559,
1563370132,31.2244335,121.4768528,traffic_signals
1572268640,31.2194567,121.4738597,traffic_signals
1572270960,31.220384,121.4671054,motorway_junction
1573535375,31.2470404,121.4861696,traffic_signals
1573535406,31.243022,121.470275,
1573839190,31.227899,121.4399688,
1576353731,31.2073467,121.465148,traffic_signals
1576354815,31.2155354,121.4444607,traffic_signals
1577605553,31.2028966,121.4420234,traffic_signals
1581175468,31.2394575,121.4914099,
1584371187,31.2441136,121.4856396,
1584395369,31.2478116,121.4849914,traffic_signals
1584395371,31.2478605,121.4851497,traffic_signals
1584759450,31.2513925,121.496183,traffic_signals
1584759457,31.2526972,121.4954106,traffic_signals
1584759466,31.2533707,121.4946871,
1584759478,31.2542225,121.4938763,traffic_signals
1584759481,31.2543028,121.494042,traffic_signals
1584759483,31.2543814,121.4942248,traffic_signals
1584759584,31.2583368,121.4907588,
1584759592,31.2586069,121.4902163,traffic_signals
1588112396,31.2273638,121.4337284,traffic_signals
1618037688,31.2088363,121.492658,
1618037846,31.2095461,121.4958937,
1627091380,31.2479579,121.4553337,
1627091403,31.249517,121.4556213,
1627091406,31.2495513,121.4551098,
1632904379,31.2411032,121.4746474,
1632904388,31.2427154,121.4742385,
1632952322,31.2547001,121.4625753,
1632952327,31.2548371,121.4453607,
1632952368,31.256139,121.4665904,
1640516456,31.2519349,121.4545843,
1640516500,31.2533949,121.4544511,
1640516512,31.2541778,121.4544766,
1640516514,31.2543341,121.4545038,
1640516517,31.2543453,121.4543691,
1640522823,31.2511157,121.4552663,
1640556943,31.2576266,121.4471782,
1640556988,31.2601801,121.4501715,
1640556997,31.2610078,121.4503216,
1641955345,31.2542018,121.4593216,traffic_signals
1641955352,31.2542209,121.4589808,traffic_signals
1641955376,31.254277,121.4558012,
1641955391,31.2545889,121.4507788,
1641955408,31.2546906,121.4468229,
1641955411,31.2546939,121.4472046,
1641955441,31.2551208,121.464284,
1641955449,31.2551693,121.4644384,
1641955514,31.2578028,121.4687556,
1641955554,31.2584863,121.4697561,
1641955606,31.2596216,121.4708453,
1641955636,31.2607194,121.4718716,
1641955640,31.2607301,121.4698404,
1641955664,31.2617393,121.4742176,
1641955674,31.2618483,121.4742266,
1641955681,31.2619041,121.4741645,
1641955706,31.2621767,121.4737001,
1641955712,31.2622643,121.473764,
1641955718,31.2623178,121.473564,
1666718699,31.2127137,121.4347323,
1679025070,31.195414,121.4318127,
1679025080,31.1951602,121.4255657,
1684430781,31.2346362,121.432988,
1720121311,31.2107108,121.5097697,traffic_signals
1720857563,31.2371759,121.4719474,
1721498186,31.2383564,121.4920354,
1721527687,31.2275817,121.4682693,
1721530569,31.2256419,121.4620071,
1722215053,31.2352518,121.4874436,traffic_signals
1722215093,31.2364554,121.4867848,traffic_signals
1722316700,31.2398294,121.4990186,
1723066763,31.243888,121.457899,
1723083538,31.2476979,121.4553379,
1723083578,31.2472644,121.4585252,traffic_signals
1723083646,31.2494351,121.4584542,
1723132702,31.2611371,121.4581746,
1723132751,31.260558,121.4584824,
1730218044,31.2169626,121.4295926,
1765485311,31.2396765,121.4998383,
1765485334,31.2386839,121.5002683,
1765485347,31.238737,121.4992793,crossing
1765485421,31.23784,121.5024807,
1765485442,31.2392036,121.4998948,
1765488318,31.2391405,121.4990658,
1765488324,31.2388779,121.4992726,
